"loss","RandomValue","id","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f13","f778"
13,0.79,48542,116,10,0.50,2600,16,78920,319,816,119.76,116.72,6,394
4,0.11,31097,137,9,0.70,3100,16,82379,1110,159,132.86,136.68,9,513
2,4.55522537231445e-03,27852,129,8,0.10,1500,10,842,8686,9164,126.25,128.49,12,13
8,0.45,54684,163,7,0.76,6200,10,10590,7452,3484,159.07,162.03,14,23
1,0.67,91175,124,9,0.99,1600,3,13689,7760,372,123.88,123.98,7,85
31,0.48,87863,117,10,0.23,1800,16,6901,2347,259,118.32,117.21,11,393
13,0.08,89357,140,9,0.33,1600,4,9068,4811,4075,134.11,138.98,11,85
22,0.90,37681,119,10,0.77,1800,16,81293,1157,2252,119.71,119.20,14,1079
2,0.48,77498,161,8,0.59,3500,3,79281,2997,3417,162.71,161.49,4,87
14,0.80,56894,119,10,0.24,2100,16,7458,403,246,122.55,119.46,12,513
31,0.08,12435,121,9,0.18,3600,7,8563,2006,1632,126.57,123.08,7,6
4,0.24,58428,111,11,0.29,1100,16,84882,269,2072,117.75,112.34,8,1079
3,0.68,46338,132,9,0.76,1800,16,14234,4487,1362,130.73,131.54,9,1079
25,0.77,30651,142,7,0.37,5300,4,11723,2088,1042,149.74,143.83,9,41
2,0.75,58578,140,10,0.31,1500,17,76973,7661,326,135.35,139.27,6,393
4,0.77,49595,157,8,0.18,4500,7,13499,2795,1164,156.63,157.13,7,4
12,0.70,46001,164,7,0.57,3500,4,10590,4997,3586,159.16,162.71,7,16
1,0.14,38202,154,8,0.74,4400,7,13164,381,2003,150.97,153.30,7,18
11,0.62,105200,121,7,0.32,2100,3,6901,37,2466,125.95,121.62,4,19
5,0.50,87478,125,7,0.69,1300,4,79202,5094,2265,126.77,125.31,8,21
17,0.83,37802,129,10,0.39,2200,7,7399,6910,1037,127.05,128.28,10,7
16,0.08,54453,154,8,0.54,5800,7,9482,3588,5608,154.17,153.86,8,12
12,0.97,54347,156,9,0.84,3500,4,84786,244,1004,156.26,156.34,15,10
4,0.08,90722,129,9,0.61,1300,4,82642,2855,5366,128.75,128.99,7,8
5,0.39,46619,126,10,0.42,2100,16,82768,7809,5459,126.91,126.43,13,513
8,0.77,51615,154,9,0.93,5500,10,76730,3171,784,151.06,153.24,16,87
4,0.16,28009,119,4,0.36,1300,10,82642,1411,4967,121.47,119.50,6,21
8,0.06,30139,127,8,0.46,1100,4,78920,3398,3164,127.01,126.87,11,30
26,0.05,101645,134,10,0.85,3100,4,2624,1430,1553,131.30,133.12,14,47
61,0.16,4691,126,1,0.39,2700,4,9290,7607,1825,125.00,125.80,16,17
17,0.08,25902,132,8,0.33,1300,15,77014,1867,2392,128.17,131.20,13,394
1,0.31,77544,159,8,0.29,3500,4,12290,7731,5992,158.57,159.05,8,90
2,0.57,22211,123,10,0.26,1500,7,12602,4152,5283,124.63,123.45,11,10
2,0.11,77093,129,6,0.13,1100,4,8563,7839,2931,125.76,128.01,12,13
3,0.95,21631,136,9,0.46,1600,10,79004,2805,610,135.76,136.34,8,16
11,0.70,25227,112,6,0.85,1300,4,81166,625,200,116.78,112.67,16,49
1,0.59,103010,119,10,0.15,1500,3,76957,3417,7107,120.16,119.07,10,37
5,0.72,8583,128,9,0.76,3100,16,79202,4103,5836,129.10,128.42,8,1083
3,0.36,9752,166,8,0.01,4700,4,81480,2931,1982,160.64,164.80,9,39
4,0.09,49785,127,10,0.94,1800,15,76973,9079,167,126.03,126.60,11,394
5,0.85,77636,123,8,0.16,2000,10,2572,6754,8489,125.56,123.68,6,22
2,0.85,92031,133,10,0.14,1300,17,84857,1344,4691,130.04,132.65,12,513
3,0.46,68239,129,9,0.50,1500,4,76973,6452,1201,128.05,128.65,6,19
2,0.53,12635,121,9,0.32,1500,3,78920,3186,3243,125.60,122.16,9,30
24,0.54,103144,123,10,0.69,1300,3,5933,213,1500,131.10,125.50,12,31
5,0.02,93719,135,8,0.77,1100,4,11255,7423,3396,133.43,135.07,10,93
3,0.55,34320,132,8,0.58,1800,16,393,4167,1891,129.36,131.34,14,1083
6,0.70,96829,135,9,0.62,1800,4,113,5893,85,132.80,134.57,12,93
6,0.93,18581,130,9,0.96,1500,3,85131,1364,772,129.09,130.04,12,30
18,0.43,7252,122,7,0.84,2600,4,2572,111,7453,125.47,122.72,15,107
6,0.83,82287,161,6,0.41,4700,4,12290,7769,6007,159.81,160.59,9,67
10,0.61,23539,126,10,0.12,2700,10,76831,2747,2199,124.44,125.72,7,22
11,0.30,30256,131,10,1.62808e-03,1100,7,113,1503,1806,129.00,130.42,12,19
1,0.33,53927,158,7,0.85,4100,7,12290,7436,5708,156.96,157.62,8,36
11,0.36,43214,154,8,0.48,4500,7,76669,3434,664,156.22,154.90,12,87
2,0.55,57573,132,10,0.04,3500,15,82642,1826,122,128.31,131.40,5,394
8,0.05,54756,158,7,0.14,4800,13,76136,1214,242,155.60,157.40,19,90
3,0.56,59536,126,10,0.85,2200,16,8563,8557,1304,125.46,125.90,9,393
5,0.42,103034,132,10,0.60,1300,3,387,447,669,129.61,131.68,10,37
1,0.33,76824,133,10,0.87,1800,16,75464,4302,6329,131.48,132.70,9,394
5,0.11,96635,152,8,0.31,5000,3,86032,758,4300,153.02,152.36,14,67
2,0.43,45734,154,8,0.83,3600,10,13380,3485,2055,156.04,154.16,9,73
4,0.93,92379,133,9,0.51,1800,3,13641,4726,8774,127.58,131.44,6,12
10,0.69,24988,134,7,0.19,1800,4,8563,798,2708,126.72,132.59,12,54
26,0.56,104778,131,9,0.94,2700,15,78920,4979,134,133.02,131.82,11,513
9,0.73,90020,125,9,0.24,1500,4,627,616,1712,127.38,125.81,12,47
8,0.30,49968,130,10,0.89,1800,16,11255,1853,1369,131.20,130.04,8,394
10,0.02,532,162,8,2.613507e-03,4300,2,79754,2293,3851,160.28,162.12,11,83
6,0.54,99865,126,9,0.98,2300,10,627,7027,6520,127.50,126.30,16,15
13,0.13,47140,156,8,0.94,5200,4,76669,2375,2149,155.94,156.00,9,30
6,0.37,75073,150,7,0.99,6200,7,10590,517,3851,153.47,150.94,9,57
5,0.32,63058,119,9,0.92,1100,16,85131,9403,10669,121.28,119.74,9,513
2,0.38,85552,124,10,0.99,3000,4,2277,3197,1483,126.98,124.36,9,10
8,0.68,61053,125,10,0.69,2700,16,2572,6595,8294,118.63,123.02,12,513
7,0.73,72151,133,8,0.25,3500,7,81582,6826,6544,129.31,132.19,12,36
20,0.38,5906,124,10,0.33,2200,4,76973,5063,1675,123.63,123.97,14,47
7,0.99,8234,121,10,0.11,1300,4,11699,51,3775,122.72,121.62,17,49
3,0.73,86444,121,9,0.42,2600,4,76878,2413,5903,122.41,121.39,8,93
