Processor,TransistorCount,Year,Designer,Process,Areasqmm,PastCurrent,PastCurrentInd
Motorola 6800,4100,1974,Motorola,6000,16,Past,0
Motorola 6809,9000,1978,Motorola,5000,21,Past,0
Motorola 68000,68000,1979,Motorola,3500,44,Past,0
Motorola 68020,190000,1984,Motorola,2000,85,Past,0
68030,273000,1987,Motorola,800,102,Past,0
68040,1200000,1990,Motorola,650,152,Past,0
68060,2500000,1994,Motorola,600,218,Past,0
AMD K5,4300000,1996,AMD,500,251,Past,0
AMD K6,8800000,1997,AMD,350,162,Past,0
AMD K6-III,21300000,1999,AMD,250,118,Past,0
AMD K7,22000000,1999,AMD,250,184,Past,0
Barton,54300000,2003,AMD,130,101,Past,0
AMD K8,105900000,2003,AMD,130,193,Past,0
AMD K10 quad-core 2M L3,463000000,2007,AMD,65,283,Past,0
AMD K10 quad-core 6M L3,758000000,2008,AMD,45,258,Past,0
Six-core Opteron 2400,904000000,2009,AMD,45,346,Past,0
8-core AMD Bulldozer,1200000000,2012,AMD,32,315,Current,1
Quad-core + GPU AMD Trinity,1303000000,2012,AMD,32,246,Current,1
8-core Ryzen,4800000000,2017,AMD,14,192,Current,1
32-core AMD Epyc,19200000000,2017,AMD,14,768,Current,1
