Id,SalePrice
1461,125194
1462,149432
1463,184288
1464,202550
1465,197686
1466,170476
1467,173883
1468,163660
1469,185497
1470,119286
1471,170035
1472,100261
1473,96476
1474,143911
1475,115178
1476,362436
1477,254473
1478,303964
1479,298181
1480,555165
1481,328526
1482,208542
1483,174765
1484,165132
1485,1
1486,1
1487,1
1488,219392
1489,193693
1490,245239
1491,194100
1492,94814
1493,1
1494,288475
1495,283028
1496,1
1497,183368
1498,180250
1499,162737
1500,158162
1501,179814
1502,153469
1503,262167
1504,245592
1505,231594
1506,190786
1507,255959
1508,198236
1509,156823
1510,146971
1511,158256
1512,175127
1513,142324
1514,1
1515,1
1516,1
1517,172965
1518,123502
1519,207915
1520,128912
1521,137355
1522,173730
1523,114724
1524,121179
1525,119629
1526,109301
1527,113300
1528,1
1529,158438
1530,1
1531,1
1532,1
1533,157666
1534,125872
1535,1
1536,1
1537,57533
1538,143073
1539,183658
1540,1
1541,1
1542,1
1543,181412
1544,85228
1545,120030
1546,140966
1547,1
1548,141176
1549,126262
1550,137508
1551,1
1552,143604
1553,1
1554,121146
1555,163150
1556,1
1557,1
1558,107374
1559,1
1560,1
1561,1
1562,133210
1563,121481
1564,158541
1565,146095
1566,232053
1567,80967
1568,1
1569,128940
1570,132395
1571,103283
1572,139460
1573,226597
1574,1
1575,236171
1576,1
1577,180168
1578,144745
1579,141844
1580,192704
1581,155243
1582,127345
1583,304052
1584,221130
1585,138104
1586,1
1587,119051
1588,1
1589,93885
1590,125113
1591,1
1592,1
1593,130298
1594,1
1595,1
1596,217570
1597,191794
1598,1
1599,165263
1600,154011
1601,79827
1602,131217
1603,60974
1604,1
1605,234676
1606,159563
1607,161437
1608,212703
1609,181423
1610,1
1611,134713
1612,174066
1613,170917
1614,112900
1615,1
1616,1
1617,91425
1618,134588
1619,148556
1620,1
1621,136280
1622,151324
1623,258668
1624,205683
1625,116485
1626,166250
1627,194708
1628,1
1629,1
1630,1
1631,223876
1632,247939
1633,1
1634,186377
1635,172175
1636,153842
1637,203747
1638,188777
1639,186820
1640,1
1641,177393
1642,246241
1643,233661
1644,240537
1645,1
1646,157224
1647,157464
1648,130090
1649,138335
1650,116346
1651,118915
1652,98949
1653,101355
1654,147288
1655,131734
1656,141088
1657,152755
1658,150958
1659,129732
1660,159563
1661,1
1662,413195
1663,381170
1664,672617
1665,306760
1666,318775
1667,1
1668,363542
1669,306029
1670,346986
1671,272863
1672,462845
1673,1
1674,247552
1675,198962
1676,194741
1677,217309
1678,515504
1679,407465
1680,319785
1681,240541
1682,319412
1683,193709
1684,175588
1685,171132
1686,169053
1687,1
1688,1
1689,188720
1690,193755
1691,184439
1692,1
1693,1
1694,185215
1695,1
1696,1
1697,1
1698,1
1699,1
1700,259307
1701,263370
1702,245064
1703,241749
1704,276751
1705,228627
1706,191680
1707,1
1708,203751
1709,261391
1710,223379
1711,270714
1712,258897
1713,286954
1714,227249
1715,210358
1716,185222
1717,176500
1718,1
1719,1
1720,245218
1721,151630
1722,1
1723,149067
1724,207898
1725,1
1726,183283
1727,148156
1728,165703
1729,1
1730,153701
1731,118104
1732,135858
1733,115901
1734,138390
1735,114570
1736,114100
1737,1
1738,250464
1739,1
1740,220511
1741,196397
1742,174529
1743,177167
1744,359762
1745,213526
1746,188639
1747,1
1748,229113
1749,139772
1750,125174
1751,244338
1752,119337
1753,148475
1754,198652
1755,170378
1756,130211
1757,123473
1758,149193
1759,1
1760,162424
1761,141476
1762,176589
1763,1
1764,117359
1765,135414
1766,198619
1767,219537
1768,140891
1769,165832
1770,148307
1771,118654
1772,125239
1773,123629
1774,137843
1775,1
1776,1
1777,109195
1778,140156
1779,131731
1780,1
1781,125712
1782,95470
1783,147419
1784,110769
1785,126934
1786,1
1787,1
1788,1
1789,101059
1790,88350
1791,1
1792,161905
1793,1
1794,148620
1795,132149
1796,1
1797,1
1798,119640
1799,108151
1800,128355
1801,1
1802,1
1803,150251
1804,133999
1805,132921
1806,122925
1807,118686
1808,117046
1809,1
1810,133764
1811,1
1812,1
1813,129882
1814,116812
1815,65803
1816,105467
1817,106734
1818,1
1819,133404
1820,1
1821,114071
1822,151742
1823,1
1824,1
1825,145205
1826,116433
1827,107487
1828,128057
1829,120612
1830,137658
1831,1
1832,1
1833,145043
1834,128134
1835,1
1836,127357
1837,1
1838,1
1839,1
1840,1
1841,122511
1842,94512
1843,133546
1844,1
1845,138457
1846,162291
1847,177349
1848,1
1849,1
1850,113767
1851,143676
1852,128990
1853,120959
1854,160941
1855,1
1856,224044
1857,127280
1858,137484
1859,113623
1860,142836
1861,114191
1862,1
1863,1
1864,1
1865,333830
1866,318714
1867,218763
1868,279242
1869,202655
1870,219655
1871,244161
1872,169951
1873,1
1874,154409
1875,199778
1876,204610
1877,210706
1878,200734
1879,1
1880,130691
1881,253800
1882,1
1883,1
1884,202097
1885,215534
1886,269787
1887,213274
1888,270291
1889,1
1890,1
1891,1
1892,95749
1893,1
1894,1
1895,1
1896,123751
1897,1
1898,112269
1899,166989
1900,149400
1901,1
1902,165816
1903,224718
1904,141279
1905,202826
1906,1
1907,1
1908,111806
1909,131456
1910,121653
1911,1
1912,1
1913,130291
1914,54686
1915,319176
1916,1
1917,1
1918,142241
1919,170738
1920,156534
1921,379723
1922,319034
1923,1
1924,1
1925,199290
1926,377540
1927,134150
1928,160835
1929,129233
1930,133321
1931,138009
1932,134185
1933,207217
1934,186536
1935,1
1936,197004
1937,180878
1938,163610
1939,1
1940,194421
1941,171103
1942,165614
1943,221582
1944,1
1945,1
1946,1
1947,136651
1948,166843
1949,236992
1950,183947
1951,1
1952,200168
1953,161126
1954,1
1955,133924
1956,1
1957,147053
1958,275177
1959,134365
1960,111696
1961,125193
1962,98819
1963,107221
1964,103380
1965,150009
1966,140085
1967,300768
1968,443471
1969,378158
1970,1
1971,1
1972,1
1973,1
1974,1
1975,413847
1976,280801
1977,373002
1978,1
1979,314877
1980,205078
1981,339814
1982,219426
1983,205279
1984,1
1985,227318
1986,208152
1987,185090
1988,172943
1989,1
1990,1
1991,232189
1992,216080
1993,1
1994,1
1995,1
1996,250116
1997,1
1998,311180
1999,1
2000,1
2001,273274
2002,236054
2003,1
2004,281319
2005,1
