Id,SalePrice
1461,123438
1462,164121
1463,178989
1464,198711
1465,208460
1466,173143
1467,193333
1468,167026
1469,189666
1470,115482
1471,181294
1472,94037
1473,92153
1474,144230
1475,122044
1476,351227
1477,257446
1478,293407
1479,285385
1480,506481
1481,332965
1482,219062
1483,174462
1484,168116
1485,175742
1486,199542
1487,295790
1488,242048
1489,195908
1490,229623
1491,188000
1492,100129
1493,163931
1494,274293
1495,292753
1496,225515
1497,194927
1498,169095
1499,154518
1500,146170
1501,176774
1502,160730
1503,260354
1504,250722
1505,232420
1506,196479
1507,247924
1508,186755
1509,163283
1510,139625
1511,143366
1512,171522
1513,150645
1514,176392
1515,211824
1516,150246
1517,173561
1518,134506
1519,212855
1520,133422
1521,138016
1522,162932
1523,115537
1524,131124
1525,127156
1526,118039
1527,99812
1528,155367
1529,139834
1530,177990
1531,102530
1532,109233
1533,142878
1534,127851
1535,152827
1536,109567
1537,59733
1538,160419
1539,178553
1540,113468
1541,131344
1542,153276
1543,190559
1544,98892
1545,134524
1546,127047
1547,133876
1548,151748
1549,117532
1550,126707
1551,116657
1552,113692
1553,134698
1554,127425
1555,176652
1556,101415
1557,113897
1558,109712
1559,88495
1560,134931
1561,138492
1562,127864
1563,120182
1564,146719
1565,133397
1566,236848
1567,80257
1568,218623
1569,102559
1570,126743
1571,120158
1572,142203
1573,211593
1574,111735
1575,204509
1576,217511
1577,181829
1578,133001
1579,145545
1580,198483
1581,156591
1582,132769
1583,306342
1584,220244
1585,139331
1586,76801
1587,105838
1588,144153
1589,98766
1590,142732
1591,99971
1592,118450
1593,115442
1594,157112
1595,103947
1596,239214
1597,186161
1598,218410
1599,168938
1600,160188
1601,65859
1602,96343
1603,80694
1604,267002
1605,228956
1606,176522
1607,181995
1608,199514
1609,188389
1610,157713
1611,128692
1612,160886
1613,152596
1614,102063
1615,92410
1616,84509
1617,98195
1618,133705
1619,134223
1620,152008
1621,140117
1622,141926
1623,252095
1624,197147
1625,123618
1626,169890
1627,192314
1628,278497
1629,183509
1630,414037
1631,250864
1632,261835
1633,170155
1634,187704
1635,175844
1636,158139
1637,190169
1638,198661
1639,183501
1640,277168
1641,177676
1642,240609
1643,243081
1644,243294
1645,198689
1646,156022
1647,159459
1648,129311
1649,144757
1650,120407
1651,121874
1652,95627
1653,99439
1654,151072
1655,131758
1656,135514
1657,152348
1658,148495
1659,142606
1660,144352
1661,464528
1662,419763
1663,378432
1664,585185
1665,297905
1666,324841
1667,384571
1668,330341
1669,300522
1670,342428
1671,291048
