Id,SalePrice
1461,117114
1462,157717
1463,182748
1464,198294
1465,202727
1466,173063
1467,187736
1468,166738
1469,189306
1470,118783
1471,184775
1472,93907
1473,92408
1474,145830
1475,114098
1476,354327
1477,260451
1478,300248
1479,296376
1480,519221
1481,340180
1482,220458
1483,176396
1484,162511
1485,178138
1486,195879
1487,307256
1488,249204
1489,191909
1490,231983
1491,184846
1492,93584
1493,178451
1494,281411
1495,298014
1496,230273
1497,192118
1498,169035
1499,157377
1500,149897
1501,176072
1502,160827
1503,278254
1504,244475
1505,230854
1506,189529
1507,241210
1508,192165
1509,158653
1510,141479
1511,145405
1512,171927
1513,150258
1514,159817
1515,220035
1516,159991
1517,171050
1518,136140
1519,207940
1520,126820
1521,132322
1522,172634
1523,110671
1524,126921
1525,123196
1526,116969
1527,103058
1528,146664
1529,140962
1530,183559
1531,103282
1532,101874
1533,144181
1534,121955
1535,152172
1536,106038
1537,66283
1538,151281
1539,175202
1540,101826
1541,134426
1542,1
1543,189277
1544,95521
1545,126680
1546,135031
1547,133850
1548,141443
1549,119204
1550,130236
1551,114732
1552,118956
1553,123103
1554,119658
1555,173502
1556,94153
1557,109134
1558,109618
1559,56005
1560,143405
1561,121262
1562,122849
1563,115369
1564,157937
1565,144448
1566,248952
1567,83975
1568,218757
1569,109563
1570,130562
1571,122851
1572,140855
1573,236337
1574,118179
1575,214268
1576,249947
1577,178932
1578,135600
1579,149122
1580,200435
1581,153811
1582,134879
1583,321487
1584,219684
1585,136711
1586,79109
1587,105821
1588,142708
1589,106585
1590,143008
1591,93678
1592,121020
1593,127593
1594,136826
1595,100894
1596,230248
1597,188735
1598,221553
1599,167181
1600,157929
1601,73772
1602,103234
1603,63338
1604,254145
1605,240041
1606,179703
1607,180177
1608,207507
1609,178088
1610,151014
1611,135888
1612,159477
1613,157701
1614,105856
1615,87800
1616,78751
1617,97136
1618,125821
1619,137727
1620,147084
1621,140269
1622,133016
1623,254942
1624,199801
1625,120262
1626,175008
1627,191904
1628,286089
1629,180963
1630,398670
1631,234336
1632,253346
1633,169496
1634,185253
1635,175351
1636,158306
1637,191230
1638,197862
1639,184003
1640,268844
1641,178034
1642,235755
1643,237228
1644,238743
1645,205370
1646,158729
1647,161203
1648,130543
1649,138303
1650,123258
1651,125964
1652,95444
1653,99305
1654,149158
1655,133756
1656,137084
1657,150414
1658,147026
1659,130120
1660,152338
1661,491888
1662,416912
1663,382610
1664,724586
1665,304516
1666,350752
1667,404764
1668,334809
1669,307650
1670,350720
1671,284806
1672,480774
1673,314488
1674,268236
1675,208546
1676,188751
1677,227363
1678,529085
1679,394841
1680,309031
1681,242640
1682,318503
1683,204111
1684,182023
1685,171437
1686,171762
1687,169876
1688,190563
1689,189984
1690,193752
1691,181245
1692,257019
1693,168812
1694,181754
1695,168325
1696,278560
1697,178255
1698,363474
1699,291065
1700,236689
1701,262808
1702,255909
1703,257847
1704,297233
1705,229439
1706,194072
1707,206494
1708,204428
1709,269847
1710,224315
1711,267918
1712,263476
1713,283549
1714,229162
1715,209045
1716,181691
1717,165595
1718,136950
1719,191558
1720,226034
1721,165776
1722,129530
1723,157631
1724,197796
1725,224627
1726,177292
1727,151159
1728,170241
1729,172247
1730,168852
1731,118165
1732,125696
1733,114214
1734,119200
1735,134983
1736,114281
1737,398368
1738,250505
1739,293073
1740,210729
1741,191788
1742,176782
1743,184591
1744,321190
1745,216207
1746,237546
1747,211068
1748,221475
1749,144543
1750,139881
1751,241550
1752,121321
1753,150559
1754,202027
1755,164113
1756,131837
1757,122570
1758,144175
1759,168424
1760,150620
1761,157895
1762,179743
1763,175773
1764,109390
1765,187890
1766,187021
1767,234955
1768,141521
1769,182672
1770,149684
1771,123603
1772,128490
1773,120938
1774,142605
1775,139313
1776,119146
1777,110782
1778,141618
1779,103415
1780,179094
1781,127999
1782,89338
1783,132361
1784,95824
1785,114804
1786,148198
1787,161988
1788,67701
1789,109001
1790,69941
1791,198520
1792,161546
1793,140396
1794,165261
1795,137171
1796,121886
1797,130604
1798,118240
1799,115973
1800,115021
1801,126413
1802,153641
1803,153700
1804,139625
1805,143501
1806,131686
1807,128053
1808,115653
1809,107294
1810,132204
1811,98111
1812,93114
1813,125119
1814,92190
1815,61915
1816,100460
1817,93436
1818,133101
1819,114062
1820,46489
1821,116267
1822,134859
1823,41133
1824,134087
1825,132880
1826,97451
1827,102909
1828,132961
1829,131204
1830,133728
1831,152066
1832,85307
1833,133891
1834,113265
1835,115969
1836,131560
1837,90812
1838,122382
1839,107052
1840,127333
1841,128180
1842,88326
1843,133594
1844,135202
1845,136919
1846,147070
1847,161193
1848,56781
1849,109260
1850,114057
1851,153156
1852,122311
1853,120274
1854,169690
1855,153605
1856,208164
1857,131799
1858,144202
1859,119971
1860,147330
1861,119267
1862,306820
1863,301853
1864,301900
1865,289751
1866,299408
1867,228560
1868,292098
1869,203195
1870,223527
1871,231696
1872,172468
1873,234646
1874,156639
1875,211975
1876,198361
1877,215843
1878,201181
1879,130211
1880,151304
1881,243807
1882,247959
1883,191512
1884,202725
1885,244408
1886,278856
1887,212093
1888,276589
1889,170238
1890,118725
1891,131564
1892,99949
1893,132067
1894,123440
1895,140065
1896,128373
1897,117866
1898,123330
1899,159124
1900,155610
1901,179247
1902,148474
1903,225271
1904,145389
1905,200469
1906,175175
1907,222449
1908,116040
1909,138741
1910,122812
1911,228418
1912,376421
1913,132329
1914,58877
1915,259541
1916,1
1917,247115
1918,141151
1919,182319
1920,163592
1921,366808
1922,284722
1923,240766
1924,213133
1925,208192
1926,346579
1927,134996
1928,151546
1929,133520
1930,125506
1931,143522
1932,139478
1933,168912
1934,187565
1935,170771
1936,185718
1937,183067
1938,167903
1939,267961
1940,197713
1941,179159
1942,181982
1943,213381
1944,333811
1945,372178
1946,149850
1947,123047
1948,180858
1949,223646
1950,186740
1951,253780
1952,211687
1953,158398
1954,194535
1955,134889
1956,351850
1957,156913
1958,281293
1959,140271
1960,114995
1961,117560
1962,97337
1963,103025
1964,99651
1965,149458
1966,137599
1967,289027
1968,444066
1969,379839
1970,462847
1971,496270
1972,385219
1973,285069
1974,335197
1975,544142
1976,295750
1977,392426
1978,370930
1979,316363
1980,210591
1981,330918
1982,235241
1983,217346
1984,180362
1985,218957
1986,214841
1987,179786
1988,172900
1989,193274
1990,208617
1991,237682
1992,215239
1993,175428
1994,254058
1995,187950
1996,246595
1997,292255
1998,322990
1999,251772
2000,321463
2001,246000
2002,264052
2003,262767
2004,270715
2005,239511
2006,214716
2007,263992
2008,206415
2009,174882
2010,185152
2011,142639
2012,167831
2013,168200
2014,176772
2015,190143
2016,178074
2017,185489
2018,114736
2019,137804
2020,116782
2021,109667
2022,203896
2023,144555
2024,259185
2025,344482
2026,179085
2027,161019
2028,176608
2029,164684
2030,264475
2031,234540
2032,243231
2033,258485
2034,168072
2035,231411
2036,194386
2037,199291
2038,291006
2039,202943
2040,320285
2041,304833
2042,218183
2043,169746
2044,176114
2045,209794
2046,143910
2047,151821
2048,133985
2049,147776
2050,179096
2051,98460
2052,124580
2053,138757
2054,1
2055,157887
2056,138341
2057,115468
2058,211684
2059,125665
2060,159709
2061,185414
2062,123957
2063,110687
2064,136294
2065,122976
2066,167352
2067,111435
2068,149927
2069,92835
2070,118708
2071,95786
2072,135985
2073,143811
2074,186004
2075,140793
2076,131178
2077,134999
2078,118739
2079,139701
2080,127461
2081,130478
2082,131177
2083,144567
2084,113795
2085,117017
2086,127575
2087,128984
2088,93334
2089,81277
2090,117354
2091,96010
2092,121186
2093,118506
2094,105993
2095,147395
2096,86235
2097,96118
2098,146936
2099,66621
2100,75299
2101,104967
2102,133891
2103,90599
2104,142217
2105,112938
2106,65069
2107,180201
2108,113663
2109,105568
2110,130698
2111,1
2112,136994
2113,124442
2114,1
2115,158640
2116,117343
2117,138567
2118,122801
2119,116770
2120,112610
2121,1
2122,105588
2123,94364
2124,171200
2125,128545
2126,127786
2127,151095
2128,127264
2129,106611
2130,139684
2131,164613
2132,113082
2133,123330
2134,116843
2135,103442
2136,71616
2137,114005
2138,138773
2139,150121
2140,136327
2141,159968
2142,118953
2143,132709
2144,117945
2145,138399
2146,173858
2147,159659
2148,141092
2149,157780
2150,231098
2151,117750
2152,161857
2153,155529
2154,103709
2155,148174
2156,258984
2157,222731
2158,220942
2159,200379
2160,179345
2161,240858
2162,419434
2163,316356
2164,230047
2165,186903
2166,165947
2167,216186
2168,195366
2169,195230
2170,213142
2171,156248
2172,149851
2173,161601
2174,232889
2175,299641
2176,299303
2177,242142
2178,213066
2179,137040
2180,222155
2181,192512
2182,230758
2183,188155
2184,123076
2185,123622
2186,163681
2187,154008
2188,165583
2189,306780
2190,81114
2191,81396
2192,92765
2193,105184
2194,108233
2195,105344
2196,105071
2197,109804
2198,159016
2199,168257
2200,144107
2201,139856
2202,206142
2203,135425
2204,177071
2205,122833
2206,147634
2207,210246
2208,281922
2209,239614
2210,120274
2211,120793
2212,125855
2213,106226
