Id,SalePrice
1461,123144
1462,161554
1463,169342
1464,184559
1465,232256
1466,175095
1467,172285
1468,166912
1469,194111
1470,113690
1471,183770
1472,102082
1473,95105
1474,151026
1475,136764
1476,338576
1477,247852
1478,291925
1479,266643
1480,430653
1481,315311
1482,237843
1483,161087
1484,172583
1485,189220
1486,199913
1487,292280
1488,227594
1489,184876
1490,205117
1491,184282
1492,124920
1493,154811
1494,290955
1495,310304
1496,227900
1497,207695
1498,189732
1499,191557
1500,172815
1501,187080
1502,183363
1503,243530
1504,255685
1505,216877
1506,183231
1507,232099
1508,189816
1509,171595
1510,137417
1511,142095
1512,152474
1513,163495
1514,169901
1515,186713
1516,159852
1517,153929
1518,139882
1519,193371
1520,136700
1521,140101
1522,168596
1523,116820
1524,126678
1525,128007
1526,126912
1527,106907
1528,149950
1529,133847
1530,160622
1531,111992
1532,105675
1533,113377
1534,120257
1535,128742
1536,109329
1537,68887
1538,163171
1539,194735
1540,138366
1541,131051
1542,138875
1543,188689
1544,93881
1545,132822
1546,132248
1547,127353
1548,140333
1549,113725
1550,131295
1551,127481
1552,114770
1553,129992
1554,122489
1555,184681
1556,151667
1557,129910
1558,120182
1559,118416
1560,135347
1561,143225
1562,120308
1563,126621
1564,152719
1565,138523
1566,228500
1567,101168
1568,228185
1569,101786
1570,122309
1571,110546
1572,122830
1573,174844
1574,114292
1575,203451
1576,187380
1577,178458
1578,155968
1579,146326
1580,208209
1581,138116
1582,137138
1583,289475
1584,221942
1585,155668
1586,77261
1587,105813
1588,125144
1589,97613
1590,128794
1591,93757
1592,115066
1593,116629
1594,142483
1595,124493
1596,235657
1597,189067
1598,206888
1599,166607
1600,161127
1601,61117
1602,108693
1603,80654
1604,258687
1605,233194
1606,159823
1607,179901
1608,193964
1609,186035
1610,157285
1611,132499
1612,137527
1613,134580
1614,105090
1615,89887
1616,88183
1617,91048
1618,125811
1619,121019
1620,177015
1621,138982
1622,146635
1623,245275
1624,187143
1625,138820
1626,164465
1627,189735
1628,281972
1629,200804
1630,382170
1631,246215
1632,274296
1633,186797
1634,183520
1635,180473
1636,155740
1637,175251
1638,205260
1639,173363
1640,256392
1641,184100
1642,233954
1643,244165
1644,246276
1645,169934
1646,159603
1647,177253
1648,125711
1649,128462
1650,112220
1651,106441
1652,103176
1653,101572
1654,151109
1655,151524
1656,148986
1657,151339
1658,147214
1659,144975
1660,132812
1661,438357
1662,412275
1663,357692
1664,529643
1665,291227
1666,310859
1667,362312
1668,325800
1669,309598
1670,335786
1671,268172
1672,432247
1673,307498
1674,251754
1675,206668
1676,204979
1677,232379
1678,498154
1679,346355
1680,329777
1681,271393
1682,294495
1683,213772
1684,186439
1685,167966
1686,175875
1687,182627
1688,194793
1689,193034
1690,201814
1691,191163
1692,257205
1693,187478
1694,182019
1695,185222
1696,255459
1697,185222
1698,350277
1699,270318
