Id,SalePrice
1461,123388
1462,164364
1463,179193
1464,198860
1465,208356
1466,173113
1467,193751
1468,166948
1469,190046
1470,115427
1471,181314
1472,94004
1473,92164
1474,144284
1475,121969
1476,350710
1477,257029
1478,293130
1479,285234
1480,508533
1481,332978
1482,218877
1483,174548
1484,167994
1485,175444
1486,199386
1487,295570
1488,242130
1489,195741
1490,230090
1491,187542
1492,100424
1493,163827
1494,273959
1495,292849
1496,226173
1497,194853
1498,168962
1499,154489
1500,146159
1501,176835
1502,160573
1503,260714
1504,250634
1505,232749
1506,196988
1507,248011
1508,186838
1509,163135
1510,139696
1511,143494
1512,171815
1513,150325
1514,177064
1515,212149
1516,150226
1517,173637
1518,134744
1519,212684
1520,133539
1521,138177
1522,163086
1523,115465
1524,131132
1525,127214
1526,118428
1527,99914
1528,155416
1529,139925
1530,178200
1531,102618
1532,109303
1533,142756
1534,127650
1535,152757
1536,109604
1537,59682
1538,160577
1539,178592
1540,113867
1541,131290
1542,153298
1543,190883
1544,98933
1545,134417
1546,126890
1547,133832
1548,151594
1549,117426
1550,126800
1551,116792
1552,113733
1553,134708
1554,127323
1555,179597
1556,103052
1557,114498
1558,109479
1559,88504
1560,135548
1561,138325
1562,127758
1563,120129
1564,146936
1565,133221
1566,240570
1567,80312
1568,221859
1569,102710
1570,126653
1571,120180
1572,142435
1573,211420
1574,111709
1575,204908
1576,217502
1577,181588
1578,133532
1579,145532
1580,198302
1581,156735
1582,132902
1583,307324
1584,220063
1585,139338
1586,76648
1587,105650
1588,144281
1589,98735
1590,142603
1591,99931
1592,118480
1593,115270
1594,155759
1595,103830
1596,239474
1597,186160
1598,217232
1599,169006
1600,160204
1601,65790
1602,96333
1603,80843
1604,266789
1605,228571
1606,176618
1607,182405
1608,201858
1609,190504
1610,159218
1611,128698
1612,160654
1613,152385
1614,102228
1615,92418
1616,84438
1617,98151
1618,133666
1619,134018
1620,151968
1621,139802
1622,141903
1623,252378
1624,197068
1625,123592
1626,169995
1627,192524
1628,278701
1629,183291
1630,415541
1631,250507
1632,262053
1633,169902
1634,187817
1635,175900
1636,158270
1637,190660
1638,198363
1639,183612
1640,277140
1641,177739
1642,240530
1643,242906
1644,243097
1645,199232
1646,156107
1647,159478
1648,129213
1649,144692
1650,120341
1651,121735
1652,95592
1653,99399
1654,150978
1655,131823
1656,135517
1657,152237
1658,148396
1659,142534
1660,144291
1661,464962
1662,419440
1663,378882
1664,587639
1665,297561
1666,325256
1667,384631
1668,330376
1669,300396
1670,342555
1671,291368
1672,479785
1673,307765
1674,260755
1675,204601
1676,182300
1677,221725
1678,534457
1679,386387
1680,316308
1681,244300
1682,303388
1683,204354
1684,181711
1685,171422
1686,172696
1687,169779
1688,193843
1689,191287
1690,195835
1691,182700
1692,246553
1693,173949
1694,182819
1695,169681
1696,265237
1697,179634
1698,349564
1699,276531
1700,245189
1701,272889
1702,255094
1703,249828
1704,290307
1705,235669
1706,465879
1707,213492
1708,210508
1709,254639
1710,227153
1711,254705
1712,270317
1713,268559
1714,238036
1715,216913
1716,184055
1717,168738
1718,156439
1719,196367
1720,225757
1721,164817
1722,143174
1723,155209
1724,192046
1725,225394
1726,181972
1727,147780
1728,173952
1729,173082
1730,160066
1731,114977
1732,122714
1733,118320
1734,123968
1735,140751
1736,119203
1737,380331
1738,253530
1739,278795
1740,206967
1741,185284
1742,177566
1743,185878
1744,332550
1745,227553
1746,253941
1747,206113
1748,227230
1749,142264
1750,152087
1751,236702
1752,126789
1753,150168
1754,206779
1755,158358
1756,124721
1757,127393
1758,129297
1759,160897
1760,144561
1761,146587
1762,176812
1763,170047
1764,113152
1765,190542
1766,181804
1767,218837
1768,148618
1769,170923
1770,157072
1771,129813
1772,135734
1773,117530
1774,141861
1775,147107
1776,114752
1777,114723
1778,148775
1779,107157
1780,173808
1781,133894
1782,85837
1783,120881
1784,92044
1785,110949
1786,135211
1787,153952
1788,67951
1789,97895
1790,65314
1791,190540
1792,171258
1793,133531
1794,163803
1795,143731
1796,127083
1797,129876
1798,123908
1799,120464
1800,120549
1801,131069
1802,154312
1803,156147
1804,135175
1805,147228
1806,140099
1807,125625
1808,108564
1809,117344
1810,126863
1811,107451
1812,101866
1813,130970
1814,88005
1815,61386
1816,101899
1817,90068
1818,141696
1819,117243
1820,68781
1821,123379
1822,124346
1823,54722
1824,131732
1825,130724
1826,102326
1827,107775
1828,137834
1829,106964
1830,133294
1831,161660
1832,97050
1833,129733
1834,119376
1835,132104
1836,127457
1837,89840
1838,113765
1839,110973
1840,134661
1841,127361
1842,88205
1843,133618
1844,129588
1845,137111
1846,137826
1847,172692
1848,60018
1849,99951
1850,114506
1851,152856
1852,120169
1853,118653
1854,170225
1855,143528
1856,208126
1857,120196
1858,146532
1859,119233
1860,138053
1861,118455
1862,266495
1863,266495
1864,266495
1865,274374
1866,284441
1867,213719
1868,284637
1869,201746
1870,213546
1871,214682
1872,165810
1873,239085
1874,163586
1875,211319
1876,195967
1877,218959
1878,196860
1879,131727
1880,149849
1881,233254
1882,248100
1883,195758
1884,206167
1885,237879
1886,278450
1887,209995
1888,260523
1889,163829
1890,118044
1891,129910
1892,100140
1893,133078
1894,132068
1895,137493
1896,122593
1897,114322
1898,120609
1899,154775
1900,162862
1901,166680
1902,154557
1903,220747
1904,148842
1905,194589
1906,176899
1907,208301
1908,113254
1909,139674
1910,120721
1911,223566
1912,362084
1913,119333
1914,73774
1915,272598
1916,54526
1917,237186
1918,145375
1919,173742
1920,165136
1921,373249
1922,291790
1923,255358
1924,220058
1925,228561
1926,352469
1927,140891
1928,145833
1929,141165
1930,134354
1931,138975
1932,139026
1933,165232
1934,189166
1935,171408
1936,192610
1937,179531
1938,168466
1939,281773
1940,202912
1941,178453
1942,185370
1943,212330
1944,326954
1945,361372
1946,132821
1947,303990
1948,154545
1949,224541
1950,191402
1951,244778
1952,211555
1953,154465
1954,197208
1955,136005
1956,294944
1957,155530
1958,270935
1959,138654
1960,117798
1961,115130
1962,97576
1963,103203
1964,100159
1965,155593
1966,139684
1967,287121
1968,442209
1969,372111
1970,466861
1971,475631
1972,383950
1973,281103
1974,332426
1975,537777
1976,287226
1977,384135
1978,363285
1979,300439
1980,202964
1981,317083
1982,235020
1983,216354
1984,183554
1985,209281
1986,217450
1987,188038
1988,172992
1989,197091
1990,214233
1991,234730
1992,221241
1993,177175
1994,260592
1995,190900
1996,257294
1997,288077
1998,316594
1999,251474
2000,315830
2001,224585
2002,251095
2003,256188
2004,264594
2005,245692
2006,222608
2007,250455
2008,212875
2009,177629
2010,187206
2011,159366
2012,169873
2013,171603
2014,181082
2015,191160
2016,182305
2017,191788
2018,115391
2019,138979
2020,120428
2021,114725
2022,194976
2023,138877
2024,262923
2025,369608
2026,179697
2027,159781
2028,177561
2029,162621
2030,265153
2031,232396
2032,242146
2033,259200
2034,166554
2035,231760
2036,195315
2037,200557
2038,299729
2039,200548
2040,311297
2041,312416
2042,221049
2043,173473
2044,176286
2045,207217
2046,145213
2047,151041
2048,131277
2049,145307
2050,183239
2051,102139
2052,121889
2053,143806
2054,101730
2055,157237
2056,140134
2057,121109
2058,204684
2059,124028
2060,168817
2061,178573
2062,128979
2063,113188
2064,134101
2065,118441
2066,155602
2067,114309
2068,147085
2069,87882
2070,116093
2071,92305
2072,106950
2073,136289
2074,185147
2075,145992
2076,124909
2077,142583
2078,124324
2079,139542
2080,134821
2081,139159
2082,147653
2083,145093
2084,118312
2085,122885
2086,131262
2087,125126
2088,97874
2089,83471
2090,123897
2091,103264
2092,118614
2093,121179
2094,115135
2095,134345
2096,88265
2097,105624
2098,131241
2099,65451
2100,80654
2101,101739
2102,142858
2103,92042
2104,141248
2105,125889
2106,60491
2107,177846
2108,115966
2109,107593
2110,126202
2111,166241
2112,134780
2113,132028
2114,131066
2115,166576
2116,112015
2117,148808
2118,127201
2119,123961
2120,115167
2121,1
2122,110016
2123,97662
2124,171973
2125,128910
2126,121387
2127,160141
2128,136000
2129,93706
2130,131887
2131,146023
2132,98668
2133,109130
2134,107162
2135,88421
2136,68770
2137,118259
2138,135049
2139,141792
2140,141231
2141,153553
2142,123455
2143,131231
2144,113522
2145,143721
2146,163943
2147,162902
2148,131147
2149,144201
2150,223093
2151,118053
2152,163490
2153,154446
2154,108685
2155,150669
2156,265944
2157,223072
2158,219325
2159,200408
2160,174102
2161,226348
2162,395002
2163,290835
2164,215565
2165,196669
2166,163043
2167,214290
2168,195390
2169,199251
2170,216186
2171,152606
2172,143170
2173,157904
2174,233160
2175,287348
2176,278533
2177,243008
2178,210544
2179,139678
2180,223021
2181,195074
2182,219908
2183,190144
2184,123767
2185,115103
2186,154075
2187,142530
2188,155780
2189,252475
2190,85383
2191,85383
2192,97547
2193,110375
2194,115439
2195,104566
2196,105308
2197,111927
2198,157270
2199,150502
2200,149240
2201,136223
2202,219830
2203,132656
2204,184143
2205,130270
2206,153250
2207,204765
2208,272765
2209,215949
2210,117505
2211,113304
2212,118966
2213,105287
2214,123176
2215,93758
2216,139811
2217,60775
2218,85014
2219,83349
2220,79279
2221,272598
2222,251197
2223,242206
2224,190165
2225,121311
2226,182995
2227,206291
2228,256090
2229,250840
2230,158531
2231,203554
2232,186172
2233,183094
2234,243619
2235,234567
2236,283135
2237,322124
2238,181240
2239,141127
2240,153239
2241,129389
2242,116412
2243,127040
2244,93327
2245,86939
2246,144591
2247,121439
2248,137059
2249,131952
2250,135037
2251,80603
2252,189646
2253,154927
2254,171484
2255,200038
2256,188221
2257,218461
2258,168821
2259,175280
2260,159548
2261,196492
2262,224759
2263,364109
2264,445199
2265,157103
2266,284040
2267,400188
2268,395056
2269,153538
2270,182622
2271,219239
2272,182690
2273,163482
2274,163933
2275,153481
2276,177005
2277,195887
2278,151067
2279,116686
2280,120968
2281,151867
2282,165797
2283,105537
2284,102030
2285,152337
2286,134044
2287,341958
2288,270682
2289,377201
2290,454963
2291,326142
2292,412366
2293,498908
2294,397658
2295,475777
2296,307231
2297,302806
2298,303702
2299,391856
2300,346085
2301,274662
2302,273850
2303,276071
2304,268990
2305,181724
2306,184749
2307,203419
2308,214064
2309,277024
2310,214748
2311,225997
2312,173380
2313,174250
2314,179914
2315,172129
2316,184612
2317,191607
2318,173470
2319,182969
2320,193981
2321,233689
2322,191823
2323,179398
2324,173093
2325,203875
2326,170205
2327,211825
2328,226988
2329,192202
2330,179845
2331,345308
2332,395673
2333,329732
2334,251174
2335,259739
2336,326574
2337,219075
2338,269683
2339,237299
2340,383371
2341,221018
2342,255518
2343,234901
2344,236219
2345,251816
2346,219727
2347,203342
2348,246848
2349,177996
2350,265494
2351,242415
2352,252190
2353,256369
2354,153784
2355,167962
2356,152280
2357,193027
2358,186002
2359,129001
2360,117670
2361,145351
2362,294765
2363,131905
2364,161971
2365,221660
2366,187403
2367,221304
2368,207586
2369,219989
2370,160558
2371,162393
2372,199950
2373,284680
2374,311233
2375,220050
2376,350265
2377,387262
2378,138020
2379,224113
2380,150669
2381,155895
2382,193324
2383,199324
2384,237108
2385,157712
2386,134537
2387,135261
2388,94987
2389,120595
2390,124837
2391,137755
2392,124285
2393,166757
2394,135262
2395,203889
2396,143810
2397,207655
2398,117037
2399,76604
2400,81475
2401,127685
2402,132024
2403,136953
2404,141166
2405,146594
2406,146628
2407,133006
2408,138067
2409,122987
2410,179436
2411,116906
2412,150926
2413,128207
2414,152531
2415,132312
2416,130992
2417,139468
2418,132966
2419,122209
2420,119555
2421,145410
2422,105276
2423,103712
2424,155557
2425,179640
2426,123231
2427,123748
2428,162322
2429,127306
2430,145970
2431,110216
2432,139402
2433,139194
2434,137972
2435,151273
2436,107135
2437,111512
2438,121765
2439,104966
2440,121224
2441,103862
2442,98659
2443,119981
2444,107549
2445,87368
2446,124728
2447,172544
2448,131485
2449,106597
2450,143462
2451,121347
2452,169057
2453,93040
2454,108751
2455,117276
2456,145900
2457,130593
2458,128387
2459,114828
2460,128396
2461,135757
2462,132053
2463,119122
2464,176006
2465,131785
2466,109676
2467,130986
2468,83912
2469,83838
2470,171148
2471,192985
2472,138710
2473,111276
2474,70726
2475,216645
2476,121211
2477,123204
2478,150731
2479,101737
2480,139007
2481,114960
2482,124380
2483,114283
2484,115733
2485,128930
2486,134810
2487,152169
2488,157690
2489,140918
2490,131535
2491,100893
2492,186369
2493,125083
2494,138271
2495,98647
2496,250361
2497,154360
2498,111091
2499,88905
2500,121701
2501,137271
2502,146224
2503,98693
2504,176811
2505,206946
2506,229533
2507,280334
2508,229533
2509,204024
2510,215586
